No,Title,Author,Year,Language,Genre,GoodRead_rating,Description,Ranking
68,The Wonderful Adventures of Nils,Selma Lagerlöf,1906,Swedish,Children's Fantasy,3.03,A mischievous boy is shrunk to miniature size and travels Sweden with wild geese.,68
69,A Room of One's Own,Virginia Woolf,1929,English,"Non-fiction, Feminist Essay",4.22,An extended essay arguing for the necessity of financial and physical space for female writers.,69
70,The Martian Chronicles,Ray Bradbury,1950,English,Science Fiction,4.16,A series of linked stories about the colonization of Mars and the displacement of its natives.,70
71,The Ravishing of Lol Stein,Marguerite Duras,1964,French,"Nouveau Roman, Psychological Fiction",3.6,A haunting psychological novel about a woman witnessing her fiancé's betrayal.,71
72,The Interrogation,J. M. G. Le Clézio,1963,French,Nouveau Roman,3.26,"A man wanders a sun-drenched city, possibly a deserter or a madman, undergoing a mental trial.",72
73,Tropisms,Nathalie Sarraute,1939,French,"Nouveau Roman, Experimental Fiction",3.7,"Experimental short prose pieces capturing the subtle, subconscious movements of the mind.",73
74,"Journal, 1887–1910",Jules Renard,1925,French,"Non-fiction, Diary",4.15,"Journal (Renard),""The witty and often bitter personal diaries of a significant French playwright and novelist.",74
75,Lord Jim,Joseph Conrad,1900,English,"Adventure, Psychological Fiction",3.61,A sailor seeks redemption after abandoning a ship he believed was sinking.,75
76,Écrits,Jacques Lacan,1966,French,"Non-fiction, Psychoanalysis",4.03,A complex collection of essays and lectures by the influential psychoanalyst Jacques Lacan.,76
77,The Theatre and Its Double,Antonin Artaud,1938,French,"Non-fiction, Theatre Theory",4.14,A manifesto calling for a 'Theatre of Cruelty' to shock and transform the audience.,77
78,Manhattan Transfer,John Dos Passos,1925,English,Modernist Fiction,3.64,A kaleidoscopic novel capturing the chaotic energy and overlapping lives of New York City.,78
79,Ficciones,Jorge Luis Borges,1944,Spanish,"Philosophical Short Stories, Magic Realism",4.4,"A collection of short stories famous for their mathematical, philosophical, and labyrinthine themes.",79
80,Moravagine,Blaise Cendrars,1926,French,Modernist Fiction,3.81,"A dark, frenetic novel about a professional killer and his companion traveling the world.",80
81,The General of the Dead Army,Ismail Kadare,1963,Albanian,Historical Fiction,4.02,An Italian general travels to Albania to recover the remains of fallen soldiers.,81
82,Sophie's Choice,William Styron,1979,English,"Psychological Drama, Historical Fiction",4.17,A young writer befriends a Holocaust survivor who harbors a devastating secret.,82
83,Gypsy Ballads,Federico García Lorca,1928,Spanish,Poetry,3,A vibrant collection of poetry celebrating and mourning the Gypsy culture of Andalusia.,83
84,The Strange Case of Peter the Lett,Georges Simenon,1931,French,"Mystery, Detective Fiction",3.47,"The first Inspector Maigret novel, introducing the famous detective and his methods.",84
85,Our Lady of the Flowers,Jean Genet,1944,French,Transgressive Fiction,4.01,"A poetic, transgressive novel written in prison, exploring the lives of outcasts.",85
86,The Man Without Qualities,Robert Musil,1930,German,"Philosophical Fiction, Modernism",4.19,"A massive, unfinished novel analyzing the intellectual climate of the waning Austro-Hungarian Empire.",86
87,Furor and Mystery,René Char,1948,French,Poetry,4.13,A collection of powerful poetry written by a leading figure of the French Resistance.,87
88,The Catcher in the Rye,J. D. Salinger,1951,English,Coming-of-age Fiction,3.8,"The quintessential novel of teenage angst and rebellion, featuring Holden Caulfield.",88
89,No Orchids For Miss Blandish,James Hadley Chase,1939,English,"Hardboiled, Crime Fiction",3.77,"A gritty, controversial noir thriller about a kidnapping gone wrong.",89
90,Blake and Mortimer,Edgar P. Jacobs,1950,French,"Graphic Novel,  Science Fiction",3.99,"The first adventure of the British duo, focusing on global threats and high-tech mystery.",90
91,The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,1910,German,Modernist Novel,3,"A semi-autobiographical novel exploring urban alienation, poverty, and death in Paris.",91
92,Second Thoughts,Michel Butor,1957,French,Nouveau Roman,3.57,A pioneering 'nouveau roman' following a man's train journey and his shifting perceptions.,92
93,The Origins of Totalitarianism,Hannah Arendt,1951,English,"Non-fiction, Political Philosophy",4.3,A seminal political study of the roots of Nazi Germany and Stalinist Russia.,93
94,The Master and Margarita,Mikhail Bulgakov,1967,Russian,"Satirical Fantasy, Magic Realism",4.28,A supernatural satire in which the devil visits atheistic Soviet Moscow.,94
95,The Rosy Crucifixion,Henry Miller,1949,English,"Autobiographical Fiction, Erotica",4,A fictionalized trilogy detailing the author's early struggles as a writer in New York.,95
96,The Big Sleep,Raymond Chandler,1939,English,"Hardboiled, Detective Fiction",3.94,"The first Philip Marlowe novel, a classic of the hardboiled detective genre.",96
97,Amers,Saint-John Perse,1957,French,Poetry,3.71,"A majestic, expansive poem celebrating the sea as a source of life and renewal.",97
98,Gaston,André Franquin,1957,French,"Graphic Novel, Comedy",4.12,A comic strip featuring an incredibly lazy and accident-prone office assistant.,98
99,Under the Volcano,Malcolm Lowry,1947,English,"Modernist Fiction, Tragedy",3.76,"The story of the final, alcohol-soaked day of a British consul in Mexico.",99
100,Midnight's Children,Salman Rushdie,1981,English,"Postcolonial Fiction, Magic Realism",3.97,A magical realist epic following children born at the exact moment of India's independence.,100
